EMPRESA;MODELO;DES_MODELO;FAMILIA;DES_FAMILIA;MARCA
1;321                 ;PASSAT 2 PORTAS                         ;1;PADRÃO                        ;VW  
1;M.BENS              ;MERCEDES BENZ                           ;1;PADRÃO                        ;VW  
1;5X1LM4              ;GOL 1.0                                 ;1;PADRÃO                        ;VW  
1;UNOE                ;UNO ELX                                 ;1;PADRÃO                        ;VW  
1;456                 ;CAMIONETE FRONTIER                      ;1;PADRÃO                        ;VW  
1;CORSA               ;CORSA                                   ;1;PADRÃO                        ;VW  
1;STRATU              ;STRATUS LE 2.0                          ;1;PADRÃO                        ;VW  
1;RANGER              ;RANGER XL                               ;1;PADRÃO                        ;VW  
1;HONDA               ;HONDA ACCORD EX                         ;1;PADRÃO                        ;VW  
1;1W1                 ;GOLF GLX 2.0 4 PTS                      ;1;PADRÃO                        ;VW  
1;9B10F4              ;GOLF SPORTLINE                          ;1;PADRÃO                        ;VW  
1;9B1EF4              ;VW/GOLF                                 ;1;PADRÃO                        ;VW  
1;9B1LF4              ;GOLF GENERATION                         ;1;PADRÃO                        ;VW  
1;9B1KF4              ;GOLF GENERATION                         ;1;PADRÃO                        ;VW  
1;9B12Y2              ;GOLF 4 PORTAS                           ;1;PADRÃO                        ;VW  
1;9B12G4              ;GOLF 2.0                                ;1;PADRÃO                        ;VW  
1;9B12C2              ;GOLF                                    ;1;PADRÃO                        ;VW  
1;9B13H4              ;GOLF 2.0                                ;1;PADRÃO                        ;VW  
1;9B13V4              ;GOLF 2.0                                ;1;PADRÃO                        ;VW  
1;9B12F4              ;GOLF  1.6                               ;1;PADRÃO                        ;VW  
1;9B1FF4              ;GOLF SPORT                              ;1;PADRÃO                        ;VW  
1;9B1KD4              ;GOLF FLASH                              ;1;PADRÃO                        ;VW  
1;9B10H4              ;GOLF 2.0                                ;1;PADRÃO                        ;VW  
1;1J1                 ;GOLF 1.6                                ;1;PADRÃO                        ;VW  
1;113011              ;FUSCA                                   ;1;PADRÃO                        ;VW  
1;237                 ;KOMBI NOVO                              ;1;PADRÃO                        ;VW  
1;231                 ;KOMBI GASOLINA                          ;1;PADRÃO                        ;VW  
1;103                 ;OUTROS MODELOS                          ;1;PADRÃO                        ;VW  
1;327                 ;Nada Consta                             ;1;PADRÃO                        ;VW  
1;1132030             ;FUSCA 1600                              ;1;PADRÃO                        ;VW  
1;1J1GB02             ;GOLF 1.6L 4P                            ;1;PADRÃO                        ;VW  
1;1W1GL11             ;GOLF GL 1.8 4P                          ;1;PADRÃO                        ;VW  
1;1W1GX11             ;GOLF GLX 2.0 4 PTS                      ;1;PADRÃO                        ;VW  
1;29770               ;GOLF                                    ;1;PADRÃO                        ;VW  
1;5W1GV4              ;VW/GOL 1.6 POWER                        ;1;PADRÃO                        ;VW  
1;29785               ;GOLF                                    ;1;PADRÃO                        ;VW  
1;29790               ;GOLF GTI                                ;1;PADRÃO                        ;VW  
1;2312310             ;KOMBI STANDART                          ;1;PADRÃO                        ;VW  
1;2312345             ;KOMBI STD                               ;1;PADRÃO                        ;VW  
1;2312346             ;KOMBI STANDAR                           ;1;PADRÃO                        ;VW  
1;2372500             ;KOMBI NOVO                              ;1;PADRÃO                        ;VW  
1;2372505             ;KOMBI NOVA                              ;1;PADRÃO                        ;VW  
1;2374510             ;KOMBI STANDARD                          ;1;PADRÃO                        ;VW  
1;2374511             ;KOMBI STANDARD                          ;1;PADRÃO                        ;VW  
1;2374512             ;KOMBI STANDARD                          ;1;PADRÃO                        ;VW  
1;2374513             ;KOMBI STANDARD                          ;1;PADRÃO                        ;VW  
1;2374515             ;KOMBI STANDARD                          ;1;PADRÃO                        ;VW  
1;2374516             ;KOMBI STANDARD                          ;1;PADRÃO                        ;VW  
1;2374520             ;KOMBI CARAT                             ;1;PADRÃO                        ;VW  
1;2374521             ;KOMBI CARAT                             ;1;PADRÃO                        ;VW  
1;2374545             ;KOMBI STANDARD                          ;1;PADRÃO                        ;VW  
1;2374547             ;KOMBI FUGAO                             ;1;PADRÃO                        ;VW  
1;2A22F4              ;POLO SEDAN                              ;1;PADRÃO                        ;VW  
1;BB06                ;CLIO HATCH CAMPUS 1.6                   ;1;PADRÃO                        ;VW  
1;3024201             ;VOYAGE GL 5M AP-1800                    ;1;PADRÃO                        ;VW  
1;3053306             ;GOL                                     ;1;PADRÃO                        ;VW  
1;3083611             ;SAVEIRO CL AP-1600                      ;1;PADRÃO                        ;VW  
1;3083620             ;SAVEIRO CL AP-1800                      ;1;PADRÃO                        ;VW  
1;3083630             ;SAVEIRO CL 1.6 MI                       ;1;PADRÃO                        ;VW  
1;3083631             ;SAVEIRO CLI 1.6                         ;1;PADRÃO                        ;VW  
1;3083633             ;SAVEIRO CL 1.8 MI                       ;1;PADRÃO                        ;VW  
1;3083634             ;SAVEIRO  CLI 1.8                        ;1;PADRÃO                        ;VW  
1;BB00                ;CLIO RT 1,6                             ;1;PADRÃO                        ;VW  
1;BB1J                ;CLIO EXP 16 VS                          ;1;PADRÃO                        ;VW  
1;3317126             ;QUANTUM 2000 MI                         ;1;PADRÃO                        ;VW  
1;BB01                ;CLIO                                    ;1;PADRÃO                        ;VW  
1;BB26                ;CLIO EXP 1,6 16V                        ;1;PADRÃO                        ;VW  
1;BB3B                ;CLIO HATCH CAMPUS 1.0 16V               ;1;PADRÃO                        ;VW  
1;BB3E                ;CLIO AUT 1,6 16V                        ;1;PADRÃO                        ;VW  
1;3319521             ;SANTANA QUANTO                          ;1;PADRÃO                        ;VW  
1;3731120             ;GOL MI 4P                               ;1;PADRÃO                        ;VW  
1;3731122             ;GOL MI 4P                               ;1;PADRÃO                        ;VW  
1;3275016             ;SANTANA 1.8 MI                          ;1;PADRÃO                        ;VW  
1;3275024             ;SANTANA CARRO DO MES                    ;1;PADRÃO                        ;VW  
1;3275031             ;SANTANA 1.8                             ;1;PADRÃO                        ;VW  
1;3275032             ;SANTANA 1.8                             ;1;PADRÃO                        ;VW  
1;3275037             ;SANTANA 1.8 MI                          ;1;PADRÃO                        ;VW  
1;3275105             ;SANTANA EVIDENCE 2.0                    ;1;PADRÃO                        ;VW  
1;3275109             ;SANTANA 2000 MI                         ;1;PADRÃO                        ;VW  
1;3275111             ;SANTANA 2000 MI                         ;1;PADRÃO                        ;VW  
1;3275112             ;SANTANA 2000 MI                         ;1;PADRÃO                        ;VW  
1;3275121             ;SANTANA 2000 MI                         ;1;PADRÃO                        ;VW  
1;3275126             ;SANTANA 2000 MI                         ;1;PADRÃO                        ;VW  
1;3275128             ;SANTANA 2000 MI                         ;1;PADRÃO                        ;VW  
1;3275131             ;SANTANA 2000 MI                         ;1;PADRÃO                        ;VW  
1;3275134             ;SANTANA 2000 MI                         ;1;PADRÃO                        ;VW  
1;3275136             ;SANTANA 2000 MI                         ;1;PADRÃO                        ;VW  
1;5W9LV4              ;SAVEIRO                                 ;1;PADRÃO                        ;VW  
1;BB06053             ;CLIO 1.0 16 V                           ;1;PADRÃO                        ;VW  
1;3275616             ;SANTANA GLI 2.000I                      ;1;PADRÃO                        ;VW  
1;5W1LV4              ;VW/GOL 1.6                              ;1;PADRÃO                        ;VW  
1;3275821             ;SANTANA GLSI 2000I                      ;1;PADRÃO                        ;VW  
1;3276504             ;SANTANA 1.8                             ;1;PADRÃO                        ;VW  
1;5Z1HC4              ;FOX                                     ;1;PADRÃO                        ;VW  
1;3276507             ;VW\SANTANA                              ;1;PADRÃO                        ;VW  
1;3276563             ;SANTANA GLS                             ;1;PADRÃO                        ;VW  
1;3276580             ;SANTANA 2.0                             ;1;PADRÃO                        ;VW  
1;3276581             ;SANTANA 2.0                             ;1;PADRÃO                        ;VW  
1;3276582             ;SANTANA 2.0                             ;1;PADRÃO                        ;VW  
1;3317017             ;QUANTUM CLI                             ;1;PADRÃO                        ;VW  
1;3317027             ;QUANTUM 1.8                             ;1;PADRÃO                        ;VW  
1;BB0653              ;CLIO 1.0                                ;1;PADRÃO                        ;VW  
1;3738373             ;GOL 16 V                                ;1;PADRÃO                        ;VW  
1;3738375             ;VW  GOL 16V. 4P                         ;1;PADRÃO                        ;VW  
1;3738379             ;VW  GOL 16V. 4P                         ;1;PADRÃO                        ;VW  
1;3738380             ;VW  GOL 16V. 4P                         ;1;PADRÃO                        ;VW  
