EMPRESA;REVENDA;NUMERO_NOTA_FISCAL;SERIE_NOTA_FISCAL;TIPO_TRANSACAO;DTA_ENTRADA_SAIDA;DTA_DOCUMENTO;CLIENTE;DEPARTAMENTO;USUARIO;REVENDA_ORIGEM;QUANTIDADE;VAL_FRETE;VAL_DESCONTO;VAL_SEGURO;VAL_IPI;VAL_PIS;VAL_COFINS;VAL_TOTAL_REAL_ITEM;VAL_TOTAL_NOTA_ITEM;VAL_ICMS_RETIDO;VAL_CUSTO_CONTABIL;VAL_ICMS;VENDEDOR;VAL_ISS_RETIDO;COD_SETOR_VENDA;VAL_BONUS;MODELO
5;2;25624;1    ;V21;2018/11/28 00:00:00.000;2018/11/28 00:00:00.000;41570;100;332;2;1;0;0;0;0;0;0;60990;60990;0;52420.74;0; 31;;N;;BZ12Q4
5;2;25635;1    ;V21;2018/11/28 00:00:00.000;2018/11/28 00:00:00.000;196685;100;544;2;1;0;0;0;0;0;0;89900;89900;0;79096.54;0; 55;;N;;BZ24B3
5;2;25055;1    ;V21;2018/11/08 00:00:00.000;2018/11/08 00:00:00.000;195794;100;26;2;1;0;0;0;0;0;0;79900;79900;0;73141.01;0; 4;;N;;BZ14B3
5;2;21885;1    ;V21;2018/07/30 00:00:00.000;2018/07/30 00:00:00.000;194599;100;553;2;1;0;0;0;0;0;0;74900;74900;0;69172.26;0; 53;;N;;BZ23B3
5;2;13353;1    ;V21;2017/11/21 00:00:00.000;2017/11/21 00:00:00.000;191059;100;553;2;1;0;0;0;0;0;0;180000;180000;0;153932.3;0; 53;;N;;S7BC3A
5;2;11799;1    ;V21;2017/10/10 00:00:00.000;2017/10/10 00:00:00.000;24836;100;101;2;1;0;0;0;0;0;0;40990;40990;0;40427.04;0; 24;;N;;5U5TK4
5;2;11047;1    ;U21;2017/09/18 00:00:00.000;2017/09/18 00:00:00.000;50914;200;19;2;1;0;0;0;0;0;0;5500;5500;0;5500;49.5; 47;;U;;124570
5;2;22950;1    ;V21;2018/08/30 00:00:00.000;2018/08/30 00:00:00.000;60634;100;26;2;1;0;0;0;0;0;0;189000;189000;0;174559.42;0; 4;;N;;S7BC7A
5;2;22882;1    ;V21;2018/08/29 00:00:00.000;2018/08/29 00:00:00.000;11416;100;633;2;1;0;0;0;0;0;0;41990;41990;0;41869.28;0; 72;;N;;5U7TA4
5;2;8928;1    ;U21;2017/07/15 00:00:00.000;2017/07/15 00:00:00.000;50914;200;19;2;1;0;0;0;0;1.95;9;15300;15300;0;15000;137.7; 47;;U;;SIENA
5;2;23490;1    ;V21;2018/09/19 00:00:00.000;2018/09/19 00:00:00.000;195191;100;26;2;1;0;0;0;0;0;0;52500;52500;0;46615.47;0; 4;;N;3250;5U7TA4
5;2;24025;1    ;V21;2018/10/04 00:00:00.000;2018/10/04 00:00:00.000;195396;100;332;2;1;0;0;0;0;0;0;55900;55900;0;46773.75;0; 31;;N;;5Z5KE4
5;2;11618;1    ;V21;2017/10/03 00:00:00.000;2017/10/03 00:00:00.000;16012;100;26;2;1;0;0;0;0;0;0;55300;55300;0;52271.88;0; 4;;N;;5U5FE4
5;2;24072;1    ;V21;2018/10/08 00:00:00.000;2018/10/08 00:00:00.000;195421;100;332;2;1;0;0;0;0;0;0;78900;78900;0;67101.69;0; 31;;N;;BZ13B3
5;2;22807;1    ;V21;2018/08/27 00:00:00.000;2018/08/27 00:00:00.000;194950;100;31;2;1;0;0;0;0;0;0;64900;64900;0;56077.03;0; 3;;N;;5UGTE4
5;2;22996;1    ;V21;2018/08/31 00:00:00.000;2018/08/31 00:00:00.000;194941;100;26;2;1;0;0;0;0;0;0;61390;61390;0;52420.74;0; 4;;N;;BZ12Q4
5;2;22873;1    ;V21;2018/08/29 00:00:00.000;2018/08/29 00:00:00.000;45608;100;31;2;1;0;0;0;0;0;0;66500;66500;0;61540.73;0; 3;;N;;BZ12U3
5;2;22238;1    ;V21;2018/08/09 00:00:00.000;2018/08/09 00:00:00.000;194757;100;332;2;1;0;0;0;0;0;0;49000;49000;0;46773.75;0; 31;;N;;5Z5KE4
5;2;22240;1    ;V21;2018/08/09 00:00:00.000;2018/08/09 00:00:00.000;194757;100;332;2;1;0;0;0;0;0;0;49000;49000;0;46773.75;0; 31;;N;;5Z5KE4
5;2;28511;1    ;U21;2019/03/13 00:00:00.000;2019/03/13 00:00:00.000;50914;200;732;2;1;0;0;0;0;6.5;30;20000;20000;0;19000;180; 110;;U;;5U24E4
5;2;11487;1    ;V21;2017/09/29 00:00:00.000;2017/09/29 00:00:00.000;9305;100;26;2;1;0;0;0;0;0;0;59000;59000;0;52282.76;0; 4;;N;;5Z56E4
5;2;3329;1    ;V21;2017/01/27 00:00:00.000;2017/01/27 00:00:00.000;45023;100;31;2;1;0;3671.8;0;0;0;0;39900;39900;0;38894.25;0; 3;;N;;5U5DK4
5;2;3961;1    ;U21;2017/02/17 00:00:00.000;2017/02/17 00:00:00.000;24171;200;19;2;1;0;0;0;0;1.3;6;12200;12200;0;12000;109.8; 47;;U;;DLMLML16MS
5;2;2573;1    ;U21;2016/12/29 00:00:00.000;2016/12/29 00:00:00.000;96339;200;19;2;1;0;0;0;0;3.25;15;16500;16500;0;16000;148.5; 47;;U;;5U11C4
5;2;13411;1    ;V21;2017/11/23 00:00:00.000;2017/11/23 00:00:00.000;22014;100;587;2;1;0;0;0;0;0;0;49990;49990;0;40240.89;0; 61;;N;;6A62K4
5;2;11005;1    ;V21;2017/09/15 00:00:00.000;2017/09/15 00:00:00.000;4696;100;31;2;1;0;0;0;0;0;0;47000;47000;0;39729.06;0; 3;;N;;5U5TK4
