,VAL_CUSTO_CONTABIL
2016-08-05,8401.02
2016-08-06,3266.18
2016-08-07,0.0
2016-08-08,14513.159999999996
2016-08-09,4517.4
2016-08-10,18778.8
2016-08-11,6469.25
2016-08-12,13357.220000000001
2016-08-13,2494.1800000000003
2016-08-14,0.0
2016-08-15,14713.42
2016-08-16,9294.91
2016-08-17,32312.26
2016-08-18,16520.589999999997
2016-08-19,20836.829999999994
2016-08-20,19606.54
2016-08-21,0.0
2016-08-22,30459.2
2016-08-23,24725.89
2016-08-24,45187.340000000004
2016-08-25,10774.960000000001
2016-08-26,20193.1
2016-08-27,2778.78
2016-08-28,0.0
2016-08-29,25236.45
2016-08-30,38562.990000000005
2016-08-31,24435.089999999997
2016-09-01,5570.4400000000005
2016-09-02,17150.549999999996
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,16337.429999999998
2016-09-06,9697.77
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,35256.61
2016-09-10,1602.9
2016-09-11,0.0
2016-09-12,40327.78
2016-09-13,34269.580000000016
2016-09-14,77880.79999999999
2016-09-15,12174.6
2016-09-16,18681.19
2016-09-17,3160.4100000000003
2016-09-18,0.0
2016-09-19,11357.48
2016-09-20,29840.950000000004
2016-09-21,7474.56
2016-09-22,29521.900000000005
2016-09-23,19451.550000000007
2016-09-24,1459.0900000000001
2016-09-25,0.0
2016-09-26,9504.689999999999
2016-09-27,50100.04
2016-09-28,7548.07
2016-09-29,12506.609999999993
2016-09-30,16946.670000000006
2016-10-01,1236.17
2016-10-02,0.0
2016-10-03,7962.889999999999
2016-10-04,18306.550000000003
2016-10-05,0.0
2016-10-06,20881.139999999996
2016-10-07,16388.509999999995
2016-10-08,2506.2200000000003
2016-10-09,0.0
2016-10-10,20187.88
2016-10-11,19549.8
2016-10-12,0.0
2016-10-13,28205.420000000006
2016-10-14,26894.78
2016-10-15,13922.95
2016-10-16,0.0
2016-10-17,21261.579999999994
2016-10-18,51002.69000000002
2016-10-19,34982.05000000001
2016-10-20,53883.53999999999
2016-10-21,14015.880000000005
2016-10-22,9163.06
2016-10-23,0.0
2016-10-24,10315.390000000001
2016-10-25,15535.99
2016-10-26,16752.72
2016-10-27,15788.879999999997
2016-10-28,23007.789999999997
2016-10-29,6678.7
2016-10-30,0.0
2016-10-31,36635.240000000005
2016-11-01,33735.979999999996
2016-11-02,0.0
2016-11-03,35188.85
2016-11-04,36808.39
2016-11-05,6324.71
2016-11-06,0.0
2016-11-07,40264.18
2016-11-08,34765.06999999999
2016-11-09,14746.470000000007
2016-11-10,36078.2
2016-11-11,49494.68
2016-11-12,6433.789999999998
2016-11-13,0.0
2016-11-14,16684.069999999996
2016-11-15,0.0
2016-11-16,35689.19
2016-11-17,50439.57
2016-11-18,68815.47000000002
2016-11-19,9332.219999999996
2016-11-20,0.0
2016-11-21,20061.079999999994
2016-11-22,20334.09
2016-11-23,27920.010000000017
2016-11-24,24262.020000000004
2016-11-25,35281.00999999999
2016-11-26,8939.43
2016-11-27,0.0
2016-11-28,49570.58999999998
2016-11-29,31028.719999999994
2016-11-30,39529.18
2016-12-01,18821.959999999992
2016-12-02,21600.81
2016-12-03,728.5300000000001
2016-12-04,0.0
2016-12-05,11337.570000000002
2016-12-06,23409.999999999996
2016-12-07,27880.8
2016-12-08,24810.40999999999
2016-12-09,38268.619999999995
2016-12-10,11154.869999999995
2016-12-11,0.0
2016-12-12,19191.75
2016-12-13,22075.25
2016-12-14,14152.449999999997
2016-12-15,22787.139999999996
2016-12-16,27976.990000000016
2016-12-17,9496.409999999998
2016-12-18,0.0
2016-12-19,32522.18
2016-12-20,50007.74999999998
2016-12-21,21627.32
2016-12-22,23281.909999999996
2016-12-23,13503.679999999998
2016-12-24,2864.7199999999993
2016-12-25,0.0
2016-12-26,24873.14000000001
2016-12-27,32468.530000000002
2016-12-28,19911.06
2016-12-29,40352.0
2016-12-30,22406.56
2016-12-31,5559.56
2017-01-01,0.0
2017-01-02,6722.370000000002
2017-01-03,23664.4
2017-01-04,14325.01
2017-01-05,19248.510000000002
2017-01-06,29667.42000000001
2017-01-07,12699.04
2017-01-08,0.0
2017-01-09,31455.99
2017-01-10,17857.439999999995
2017-01-11,10690.300000000001
2017-01-12,33202.97999999998
2017-01-13,19834.14000000001
2017-01-14,3028.25
2017-01-15,0.0
2017-01-16,15693.559999999998
2017-01-17,40211.86
2017-01-18,24719.359999999997
2017-01-19,53759.26000000001
2017-01-20,47540.659999999996
2017-01-21,3745.5499999999997
2017-01-22,0.0
2017-01-23,15595.75
2017-01-24,17202.129999999997
2017-01-25,16540.040000000005
2017-01-26,12053.169999999998
2017-01-27,25915.050000000003
2017-01-28,8676.069999999998
2017-01-29,0.0
2017-01-30,22385.250000000004
2017-01-31,67183.23
2017-02-01,23087.68
2017-02-02,31416.360000000008
2017-02-03,20539.440000000002
2017-02-04,4478.43
2017-02-05,0.0
2017-02-06,18068.039999999997
2017-02-07,12425.91
2017-02-08,16922.539999999994
2017-02-09,28107.92
2017-02-10,29211.960000000006
2017-02-11,11094.930000000006
2017-02-12,0.0
2017-02-13,25832.850000000002
2017-02-14,27900.839999999997
2017-02-15,29923.48
2017-02-16,32981.8
2017-02-17,56738.63000000001
2017-02-18,38640.82000000001
2017-02-19,0.0
2017-02-20,79077.44999999998
2017-02-21,23558.77999999999
2017-02-22,23856.08
2017-02-23,26366.739999999994
2017-02-24,31513.790000000005
2017-02-25,10202.220000000003
2017-02-26,0.0
2017-02-27,10635.350000000002
2017-02-28,9484.99
2017-03-01,19018.179999999997
2017-03-02,20969.51
2017-03-03,18827.719999999998
2017-03-04,16263.509999999998
2017-03-05,0.0
2017-03-06,26146.359999999997
2017-03-07,16787.33
2017-03-08,44052.729999999996
2017-03-09,35121.16
2017-03-10,79269.80999999995
2017-03-11,7574.849999999999
2017-03-12,0.0
2017-03-13,33214.889999999985
2017-03-14,42415.79
2017-03-15,26030.379999999997
2017-03-16,31825.13999999999
2017-03-17,44811.56999999998
2017-03-18,28779.289999999986
2017-03-19,0.0
2017-03-20,43089.85999999998
2017-03-21,17607.780000000006
2017-03-22,12277.519999999999
2017-03-23,26358.159999999996
2017-03-24,79232.32999999999
2017-03-25,25519.350000000006
2017-03-26,0.0
2017-03-27,28020.660000000007
2017-03-28,41708.40999999998
2017-03-29,29436.080000000013
2017-03-30,52101.48000000001
2017-03-31,72203.52
2017-04-01,6380.419999999999
2017-04-02,0.0
2017-04-03,30209.74
2017-04-04,27348.300000000003
2017-04-05,22835.229999999996
2017-04-06,31863.710000000003
2017-04-07,28662.999999999996
2017-04-08,16037.150000000001
2017-04-09,0.0
2017-04-10,21964.010000000002
2017-04-11,38324.16000000001
2017-04-12,37270.200000000004
2017-04-13,39029.490000000005
2017-04-14,0.0
2017-04-15,19953.430000000004
2017-04-16,0.0
2017-04-17,29831.319999999996
2017-04-18,51158.91000000001
2017-04-19,39345.28
2017-04-20,87363.64000000001
2017-04-21,0.0
2017-04-22,3080.05
2017-04-23,0.0
2017-04-24,12763.93
2017-04-25,44405.99
2017-04-26,52061.799999999996
2017-04-27,39980.88999999999
2017-04-28,37717.23
2017-04-29,59175.57999999999
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,10037.609999999999
2017-05-03,33105.75
2017-05-04,28768.900000000005
2017-05-05,21892.289999999997
2017-05-06,8490.169999999998
2017-05-07,0.0
2017-05-08,24639.039999999986
2017-05-09,42617.44999999999
2017-05-10,30685.33000000001
2017-05-11,27651.36000000001
2017-05-12,22126.18
2017-05-13,10252.51
2017-05-14,0.0
2017-05-15,63456.60999999996
2017-05-16,21009.719999999998
2017-05-17,28932.98000000001
2017-05-18,31759.929999999993
2017-05-19,74562.04000000004
2017-05-20,2390.86
2017-05-21,0.0
2017-05-22,14753.29
2017-05-23,20212.21
2017-05-24,21520.45
2017-05-25,36485.789999999986
2017-05-26,17667.210000000003
2017-05-27,10558.34
2017-05-28,0.0
2017-05-29,21588.53999999999
2017-05-30,43296.94
2017-05-31,73161.92999999993
2017-06-01,25316.7
2017-06-02,24053.069999999992
2017-06-03,11026.26
2017-06-04,0.0
2017-06-05,34142.250000000015
2017-06-06,26574.09
2017-06-07,38511.939999999995
2017-06-08,31391.64
2017-06-09,40684.24
2017-06-10,9103.83
2017-06-11,0.0
2017-06-12,22842.480000000003
2017-06-13,31634.51
2017-06-14,60013.810000000005
2017-06-15,4459.48
2017-06-16,34000.78
2017-06-17,39638.3
2017-06-18,0.0
2017-06-19,27508.210000000003
2017-06-20,83081.56000000001
2017-06-21,18413.790000000005
2017-06-22,40322.55000000001
2017-06-23,26210.780000000002
2017-06-24,28185.92000000001
2017-06-25,0.0
2017-06-26,30174.330000000005
2017-06-27,23549.320000000003
2017-06-28,16340.890000000005
2017-06-29,33109.21
2017-06-30,72156.91
2017-07-01,5636.11
2017-07-02,0.0
2017-07-03,7501.43
2017-07-04,24938.35000000001
2017-07-05,30793.699999999997
2017-07-06,48657.600000000006
2017-07-07,43249.11000000002
2017-07-08,6274.200000000001
2017-07-09,0.0
2017-07-10,24546.699999999997
2017-07-11,45759.75999999999
2017-07-12,29986.51
2017-07-13,31336.96
2017-07-14,39031.279999999984
2017-07-15,7811.920000000002
2017-07-16,0.0
2017-07-17,18320.060000000005
2017-07-18,29286.109999999997
2017-07-19,32638.079999999998
2017-07-20,71210.75000000004
2017-07-21,19983.170000000002
2017-07-22,6573.669999999999
2017-07-23,0.0
2017-07-24,20652.109999999997
2017-07-25,37976.259999999995
2017-07-26,18822.829999999998
2017-07-27,40031.11
2017-07-28,42857.26
2017-07-29,7623.45
2017-07-30,0.0
2017-07-31,50361.91999999999
2017-08-01,27655.329999999998
2017-08-02,52208.40999999998
2017-08-03,53964.2
2017-08-04,46187.23999999999
2017-08-05,8242.289999999999
2017-08-06,0.0
2017-08-07,13940.180000000004
2017-08-08,27005.75
2017-08-09,35185.16999999999
2017-08-10,52641.62000000003
2017-08-11,33747.30000000001
2017-08-12,10041.489999999998
2017-08-13,0.0
2017-08-14,28238.219999999998
2017-08-15,53344.09000000002
2017-08-16,34272.539999999986
2017-08-17,57259.59
2017-08-18,51605.869999999995
2017-08-19,29114.640000000007
2017-08-20,0.0
2017-08-21,20523.170000000006
2017-08-22,32961.75000000001
2017-08-23,32149.559999999994
2017-08-24,13021.210000000003
2017-08-25,43391.240000000005
2017-08-26,17457.860000000004
2017-08-27,0.0
2017-08-28,55907.21999999997
2017-08-29,42750.01
2017-08-30,39789.96999999999
2017-08-31,61687.11000000001
2017-09-01,18562.93999999999
2017-09-02,12100.319999999998
2017-09-03,0.0
2017-09-04,22953.11
2017-09-05,26255.52
2017-09-06,40230.919999999984
2017-09-07,0.0
2017-09-08,10428.010000000002
2017-09-09,3515.87
2017-09-10,0.0
2017-09-11,21762.639999999996
2017-09-12,40861.45000000002
2017-09-13,39151.72
2017-09-14,37600.979999999974
2017-09-15,48364.91999999999
2017-09-16,13367.8
2017-09-17,0.0
2017-09-18,19633.290000000005
2017-09-19,45445.54
2017-09-20,84911.16999999995
2017-09-21,18843.85
2017-09-22,24871.559999999994
2017-09-23,11126.320000000002
2017-09-24,0.0
2017-09-25,23070.370000000003
2017-09-26,39725.78000000001
2017-09-27,15837.84
2017-09-28,49032.70000000001
2017-09-29,45617.53999999998
2017-09-30,43798.28999999999
2017-10-01,0.0
2017-10-02,17491.98
2017-10-03,18453.489999999994
2017-10-04,21428.65000000001
2017-10-05,13422.470000000001
2017-10-06,28436.069999999992
2017-10-07,10019.359999999999
2017-10-08,0.0
2017-10-09,43574.73
2017-10-10,53060.23999999998
2017-10-11,36063.28
2017-10-12,4253.030000000001
2017-10-13,23618.879999999994
2017-10-14,13093.749999999998
2017-10-15,0.0
2017-10-16,44638.80999999998
2017-10-17,49308.05
2017-10-18,39797.719999999994
2017-10-19,62992.99999999999
2017-10-20,94951.47000000003
2017-10-21,3221.26
2017-10-22,0.0
2017-10-23,16609.089999999993
2017-10-24,23872.010000000006
2017-10-25,32409.749999999993
2017-10-26,35454.6
2017-10-27,69882.57000000002
2017-10-28,17324.47
2017-10-29,0.0
2017-10-30,50425.05000000001
2017-10-31,87284.06
2017-11-01,21628.750000000004
2017-11-02,0.0
2017-11-03,26731.450000000004
2017-11-04,12525.01
2017-11-05,0.0
2017-11-06,16081.150000000001
2017-11-07,19692.22
2017-11-08,24411.25
2017-11-09,45230.00000000003
2017-11-10,25095.11000000001
2017-11-11,20584.000000000004
2017-11-12,0.0
2017-11-13,41114.460000000036
2017-11-14,36486.90999999998
2017-11-15,0.0
2017-11-16,52345.119999999995
2017-11-17,43866.11000000003
2017-11-18,25253.700000000004
2017-11-19,0.0
2017-11-20,50203.46
2017-11-21,34988.08
2017-11-22,29654.01
2017-11-23,36329.68
2017-11-24,49925.95000000001
2017-11-25,61129.450000000004
2017-11-26,0.0
2017-11-27,28179.11
2017-11-28,36221.20999999998
2017-11-29,47175.90000000003
2017-11-30,69523.27000000003
2017-12-01,12055.969999999998
2017-12-02,11803.820000000003
2017-12-03,0.0
2017-12-04,33612.05000000001
2017-12-05,19899.010000000002
2017-12-06,41529.359999999986
2017-12-07,31943.709999999995
2017-12-08,58406.92999999999
