,VAL_CUSTO_CONTABIL
2016-09-14,51459.01
2016-09-15,86325.48
2016-09-16,172767.01
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,156378.26
2016-09-20,187198.97999999998
2016-09-21,178334.91
2016-09-22,174991.22999999998
2016-09-23,267534.52
2016-09-24,35773.61
2016-09-25,0.0
2016-09-26,227096.85
2016-09-27,132000.0
2016-09-28,99000.0
2016-09-29,181407.40000000002
2016-09-30,303959.94000000006
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,279518.23
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,131799.38
2016-10-07,118895.34
2016-10-08,36149.02
2016-10-09,0.0
2016-10-10,51500.0
2016-10-11,273773.02999999997
2016-10-12,0.0
2016-10-13,112525.91
2016-10-14,97619.58
2016-10-15,90312.69
2016-10-16,0.0
2016-10-17,213397.40000000002
2016-10-18,121500.0
2016-10-19,297966.97000000003
2016-10-20,92941.73000000001
2016-10-21,0.0
2016-10-22,34523.39
2016-10-23,0.0
2016-10-24,283773.26
2016-10-25,0.0
2016-10-26,43749.17
2016-10-27,326150.07
2016-10-28,146537.59999999998
2016-10-29,248394.76999999996
2016-10-30,0.0
2016-10-31,437730.13
2016-11-01,104009.64000000001
2016-11-02,0.0
2016-11-03,27000.0
2016-11-04,45168.3
2016-11-05,34388.11
2016-11-06,0.0
2016-11-07,108328.86
2016-11-08,0.0
2016-11-09,136521.38999999998
2016-11-10,127228.76999999999
2016-11-11,163567.9
2016-11-12,447045.4299999999
2016-11-13,0.0
2016-11-14,223052.05000000002
2016-11-15,0.0
2016-11-16,123404.47
2016-11-17,142556.59
2016-11-18,198038.06
2016-11-19,37359.38
2016-11-20,0.0
2016-11-21,287508.39
2016-11-22,150764.83000000002
2016-11-23,162399.88
2016-11-24,446961.88
2016-11-25,276693.22000000003
2016-11-26,22000.0
2016-11-27,42770.48
2016-11-28,328287.48000000004
2016-11-29,171438.06
2016-11-30,789422.2500000001
2016-12-01,85254.86
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,291218.63
2016-12-06,0.0
2016-12-07,54814.65
2016-12-08,22000.0
2016-12-09,653449.7000000001
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,357607.61
2016-12-13,306168.04000000004
2016-12-14,85495.1
2016-12-15,517136.42000000004
2016-12-16,177682.41
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,752089.2899999999
2016-12-20,67780.0
2016-12-21,146172.16999999998
2016-12-22,92394.25
2016-12-23,277041.6
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,254493.30000000002
2016-12-27,84202.51000000001
2016-12-28,312083.82
2016-12-29,163557.81
2016-12-30,210128.47000000003
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,71461.6
2017-01-03,212717.65
2017-01-04,80144.66
2017-01-05,130655.69
2017-01-06,194887.38999999998
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,132829.56
2017-01-10,208124.97
2017-01-11,302229.97
2017-01-12,68390.73000000001
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,263203.78
2017-01-17,108449.87
2017-01-18,76910.28
2017-01-19,191381.15000000002
2017-01-20,510049.13
2017-01-21,38000.0
2017-01-22,0.0
2017-01-23,147012.63999999998
2017-01-24,247714.15
2017-01-25,361794.16
2017-01-26,39295.36
2017-01-27,165460.28999999998
2017-01-28,38894.25
2017-01-29,0.0
2017-01-30,446203.7499999999
2017-01-31,1462116.6600000004
2017-02-01,144066.62
2017-02-02,0.0
2017-02-03,164541.45
2017-02-04,38705.35
2017-02-05,0.0
2017-02-06,251321.78
2017-02-07,252562.05000000002
2017-02-08,396641.32000000007
2017-02-09,305497.44
2017-02-10,117500.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,383446.27
2017-02-14,389737.59
2017-02-15,214306.8
2017-02-16,793932.5499999999
2017-02-17,376741.99
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,314461.63
2017-02-21,2137924.7000000007
2017-02-22,481721.94
2017-02-23,175641.68
2017-02-24,1221084.6100000003
2017-02-25,38705.35
2017-02-26,0.0
2017-02-27,174645.32
2017-02-28,82878.22
2017-03-01,247350.69
2017-03-02,0.0
2017-03-03,135472.14
2017-03-04,39449.85
2017-03-05,0.0
2017-03-06,162205.34999999998
2017-03-07,405189.89999999997
2017-03-08,375169.88
2017-03-09,85553.79000000001
2017-03-10,121774.41
2017-03-11,381743.51
2017-03-12,0.0
2017-03-13,945138.4699999997
2017-03-14,681203.1000000001
2017-03-15,135384.69
2017-03-16,241667.99
2017-03-17,719817.5400000002
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,489827.30000000005
2017-03-21,820822.3600000001
2017-03-22,376207.29000000004
2017-03-23,241419.72
2017-03-24,617550.69
2017-03-25,240118.18
2017-03-26,0.0
2017-03-27,651376.15
2017-03-28,456096.92000000004
2017-03-29,889821.6399999999
2017-03-30,793334.4099999998
